path,size,format,tlv_start,tlv_bruteforce,zlib_xml,xml_data_count,xml_sample_rate,xml_comp_bits,xml_samples,xml_stereo,total_compressed_bytes,blob_start,blob_from_end,zlib_window_hash,blob_window_hash,chunk_count,sample_rate,articulation_count,chunk_decode_total,chunk_decode_valid,chunk_decode_invalid
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Gth 20 MAP Processed/B Kick Gth 20 MAP mOH.tci,5061859,tci2,,,5060433,22,0,"[2166641, 2193316, 2191766, 2117655, 2193115, 2119091, 2204118, 2094774, 1985629, 1842401, 1920250, 1664642, 1852374, 1782026, 1560507, 1768157, 1714892, 1773261, 1338792, 1346832, 1322150, 1330309]","[242550, 242550, 242550, 242550, 242550, 220500, 220500, 220500, 220500, 198450, 198450, 176400, 198450, 176400, 154350, 176400, 176400, 176400, 132300, 132300, 132300, 132300]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5060347,86,5061773,2c8a7a02aea4da1ebb00531d4ba3c61da153fb1d,225ea9b37aad7a3e4d689ba3ecfc45d4d726a5cc,22,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Gth 20 MAP Processed/B Kick Gth 20 MAP Dir.tci,2110395,tci2,,,2108985,22,0,"[849144, 865912, 858131, 845325, 842998, 831284, 836908, 832486, 816605, 798005, 801747, 767579, 795516, 739238, 726558, 746072, 742454, 741126, 601323, 612579, 608198, 611935]","[242550, 242550, 242550, 242550, 242550, 220500, 220500, 220500, 220500, 198450, 198450, 176400, 198450, 176400, 154350, 176400, 176400, 176400, 132300, 132300, 132300, 132300]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2108898,87,2110308,19ccd5233213693d82754de04b61c2b52bfeabbd,2be87d94e76c4f1ff2d0f8d1f65d4f1c25a2d47d,22,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Gth 20 MAP Processed/B Kick Gth 20 MAP mRoom.tci,6446975,tci2,,,6445549,22,0,"[2918180, 3053194, 2993957, 2893917, 2912896, 2674056, 2661994, 2631846, 2556871, 2372036, 2400841, 2150660, 2370150, 2193071, 1959492, 2189654, 2205935, 2178075, 1558686, 1573962, 1551692, 1562464]","[242550, 242550, 242550, 242550, 242550, 220500, 220500, 220500, 220500, 198450, 198450, 176400, 198450, 176400, 154350, 176400, 176400, 176400, 132300, 132300, 132300, 132300]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6445462,87,6446888,53011f4902bff7bf9bdb24671621c8d0b6721449,e4a5bf25f6c8ae88b4288dfd85d414c0f06b9e4c,22,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Lwg 22 VTL Processed/B Kick Lwg 22 VTL mOH.tci,6075630,tci2,,,6073273,41,0,"[1508888, 1509893, 1517914, 1511482, 1491401, 1470095, 1451603, 1473493, 1482739, 1468066, 1248502, 1441936, 1425071, 1423664, 1438940, 1373433, 1199700, 1196082, 1388307, 1386900, 1314559, 1302279, 1318780, 1364972, 1388307, 1134937, 1153228, 1150012, 1163479, 1163118, 948090, 925478, 918040, 900453, 677185, 688200, 689607, 674170, 441161, 448578, 412579]","[154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 132300, 154350, 154350, 154350, 154350, 154350, 132300, 132300, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 132300, 132300, 132300, 132300, 132300, 110250, 110250, 110250, 110250, 88200, 88200, 88200, 88200, 66150, 66150, 66150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6073184,89,6075541,321dd4cc1e3f2e478e9ee800218f2f5db4a31405,b9b0c93b8d22f35bc8257096dd6ebf9551730aea,41,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Lwg 22 VTL Processed/B Kick Lwg 22 VTL Dir.tci,3258969,tci2,,,3256629,41,0,"[948280, 951515, 950893, 948299, 922169, 845990, 822071, 831298, 829087, 832705, 793680, 813409, 794333, 808604, 803981, 682596, 657804, 651171, 678576, 675561, 599401, 586317, 578497, 590720, 578880, 455758, 443296, 458371, 452944, 432483, 479358, 475439, 469509, 462273, 436186, 461472, 435945, 428347, 333023, 338229, 313687]","[154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 132300, 154350, 154350, 154350, 154350, 154350, 132300, 132300, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 132300, 132300, 132300, 132300, 132300, 110250, 110250, 110250, 110250, 88200, 88200, 88200, 88200, 66150, 66150, 66150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3256537,92,3258877,9ccbecd4d4822701a9f0ea989004ebbba3857dee,36a6751544086a1292cb8f6779188447ae78e2c9,41,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Gth 20 MAP Processed/B Kick Gth 20 MAP OH.tci,11256872,tci2,,,11255418,22,0,"[4705655, 4837884, 4823326, 4702841, 4865651, 4625309, 4873328, 4560180, 4397370, 4083986, 4331466, 3705564, 4063332, 3995362, 3524430, 4005412, 3844857, 4030537, 2977475, 3041393, 3003487, 3043722]","[485100, 485100, 485100, 485100, 485100, 441000, 441000, 441000, 441000, 396900, 396900, 352800, 396900, 352800, 308700, 352800, 352800, 352800, 264600, 264600, 264600, 264600]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11255333,85,11256787,a43c190405fbfa960284debe2d24117349829953,89317302913c0bff97f4a4ac7028d72a8b49f3e5,22,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Gth 20 MAP Processed/B Kick Gth 20 MAP FX.tci,15600882,tci2,,,15599427,22,0,"[7401754, 7332495, 7241959, 7211321, 7103183, 6490393, 6388682, 6586069, 6331397, 5799521, 5817535, 5200602, 5899668, 5101063, 4547721, 5120359, 5096484, 5079958, 3768812, 3707507, 3812914, 3755262]","[485100, 485100, 485100, 485100, 485100, 441000, 441000, 441000, 441000, 396900, 396900, 352800, 396900, 352800, 308700, 352800, 352800, 352800, 264600, 264600, 264600, 264600]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15599343,84,15600798,74c94db2eeb58d3fdb310f46cf02bc015c9aead5,5eb1c560ec9e04a6e5ba89fb4c85d3b369c07169,22,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Lwg 22 VTL Processed/B Kick Lwg 22 VTL mRoom.tci,7692346,tci2,,,7689968,41,0,"[1845745, 1842146, 1852378, 1856618, 1813403, 1821845, 1802549, 1799314, 1813384, 1820017, 1533520, 1770772, 1781243, 1778027, 1775615, 1731615, 1497582, 1484316, 1730409, 1725786, 1647817, 1661466, 1654450, 1689788, 1719756, 1437241, 1446085, 1450306, 1473019, 1480497, 1200948, 1183562, 1174516, 1152507, 995971, 987288, 996735, 962605, 716732, 743043, 668251]","[154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 132300, 154350, 154350, 154350, 154350, 154350, 132300, 132300, 154350, 154350, 154350, 154350, 154350, 154350, 154350, 132300, 132300, 132300, 132300, 132300, 110250, 110250, 110250, 110250, 88200, 88200, 88200, 88200, 66150, 66150, 66150]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7689881,87,7692259,f7854d6a71528bbc0c3340581dbe4fa54e6eca05,6761137da6faa00996e47d2d37d80a3ad12401cc,41,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Gth 20 MAP Clean/A Kick Gth 20 MAP mRoom.tci,6393044,tci2,,,6391617,22,0,"[2902703, 3035506, 2971244, 2877636, 2886364, 2664609, 2639281, 2614761, 2542399, 2350127, 2372902, 2136992, 2344221, 2172971, 1945221, 2170559, 2184105, 2157372, 1534164, 1552656, 1531592, 1544776]","[242550, 242550, 242550, 242550, 242550, 220500, 220500, 220500, 220500, 198450, 198450, 176400, 198450, 176400, 154350, 176400, 176400, 176400, 132300, 132300, 132300, 132300]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6391529,88,6392956,a20e6edfef055786f8a616ccad8cbe6184a772d9,27a6078d6ad74e32608db315c0ea1059710031ca,22,48000,2,,,
/Users/marian/Downloads/johncatlin_patrick-carney_2026-02-04_1007/Patrick Carney Kicks/Kick Lwg 22 VTL Processed/B Kick Lwg 22 VTL OH.tci,11623721,tci2,,,11621346,41,0,"[2874671, 2889545, 2877247, 2860601, 2855576, 2835677, 2780000, 2795075, 2800666, 2801269, 2345046, 2752828, 2740805, 2743820, 2776985, 2698833, 2291060, 2282216, 2684562, 2694009, 2588923, 2569188, 2589928, 2622818, 2680177, 2176206, 2204547, 2218818, 2241933, 2249453, 1734978, 1707240, 1703218, 1679902, 1316589, 1333193, 1303926, 1306137, 795288, 802684, 764252]","[308700, 308700, 308700, 308700, 308700, 308700, 308700, 308700, 308700, 308700, 264600, 308700, 308700, 308700, 308700, 308700, 264600, 264600, 308700, 308700, 308700, 308700, 308700, 308700, 308700, 264600, 264600, 264600, 264600, 264600, 220500, 220500, 220500, 220500, 176400, 176400, 176400, 176400, 132300, 132300, 132300]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11621256,90,11623631,f65120b6404dca2c628adeb445183d835d5e39b6,3692e6fac89859776cb2036e07dc37a37febb136,41,48000,2,,,
